state_code,name
1,AGS
2,BC
3,BCS
4,CAM
5,COA
6,COL
7,CHIS
8,CHIH
9,DF
10,DUR
11,GTO
12,GRO
13,HGO
14,JAL
15,MEX
16,MICH
17,MOR
18,NAY
19,NL
20,OAX
21,PUE
22,QR
23,QROO
24,SLP
25,SIN
26,SON
27,TAB
28,TAM
29,TLA
30,VER
31,YUC
32,ZAC
